
2024/08/13 (15:43:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/13 (23:48:16) | ===> btop++ v.1.3.2
2024/08/13 (23:48:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/16 (15:50:37) | ===> btop++ v.1.3.2
2024/08/16 (15:50:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/16 (15:50:46) | ===> btop++ v.1.3.2
2024/08/16 (15:50:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/16 (15:51:04) | ===> btop++ v.1.3.2
2024/08/16 (15:51:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/16 (15:51:34) | ===> btop++ v.1.3.2
2024/08/16 (15:51:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/16 (16:31:43) | ===> btop++ v.1.3.2
2024/08/16 (16:31:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/16 (22:47:54) | ===> btop++ v.1.3.2
2024/08/16 (22:47:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/17 (23:38:07) | ===> btop++ v.1.3.2
2024/08/17 (23:38:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/18 (22:01:09) | ===> btop++ v.1.3.2
2024/08/18 (22:01:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/19 (11:35:38) | ===> btop++ v.1.3.2
2024/08/19 (11:35:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/20 (10:42:28) | ===> btop++ v.1.3.2
2024/08/20 (10:42:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/20 (11:29:37) | ===> btop++ v.1.3.2
2024/08/20 (11:29:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/20 (12:02:20) | ===> btop++ v.1.3.2
2024/08/20 (12:02:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/20 (22:40:21) | ===> btop++ v.1.3.2
2024/08/20 (22:40:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (22:47:10) | ===> btop++ v.1.3.2
2024/08/21 (22:47:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/22 (13:19:17) | ===> btop++ v.1.3.2
2024/08/22 (13:19:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/27 (12:56:21) | ===> btop++ v.1.3.2
2024/08/27 (12:56:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/27 (12:56:34) | ===> btop++ v.1.3.2
2024/08/27 (12:56:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/29 (14:15:38) | ===> btop++ v.1.3.2
2024/08/29 (14:15:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/09/02 (14:23:28) | ===> btop++ v.1.3.2
2024/09/02 (14:23:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/09/04 (11:45:53) | ===> btop++ v.1.3.2
2024/09/04 (11:45:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
